ID,TS_NS,LAT_NS
409,1771565294046325548,58891
410,1771565294046326749,1108
411,1771565294046327644,841
412,1771565294046423986,75370
413,1771565294047098851,65475
414,1771565294047100457,1399
415,1771565294047104487,3974
416,1771565294047166971,38872
417,1771565294047168120,1070
418,1771565294047186689,4029
419,1771565294047267175,57416
420,1771565294047268405,1113
421,1771565294047272424,3966
422,1771565294047333405,40576
423,1771565294047334581,1057
424,1771565294047352107,4051
425,1771565294047436655,60950
426,1771565294047437935,1144
427,1771565294047441879,3885
428,1771565294047495421,33949
429,1771565294047496576,1055
430,1771565294047557118,38529
431,1771565294047558244,1046
432,1771565294047580350,4454
433,1771565294047664174,61253
434,1771565294047665394,1121
435,1771565294047669385,3937
436,1771565294047689898,3895
437,1771565294047774558,61570
438,1771565294047775837,1156
439,1771565294047779600,3704
440,1771565294047802318,4084
441,1771565294047889228,62855
442,1771565294047893535,4211
443,1771565294047894495,885
444,1771565294047914460,3934
445,1771565294048081137,143495
446,1771565294048085653,4393
447,1771565294048086559,834
448,1771565294048087468,852
449,1771565294048091006,3484
450,1771565294048092446,1368
451,1771565294048109212,4162
452,1771565294048194010,60272
453,1771565294048195227,1118
454,1771565294048196087,807
455,1771565294048250965,33921
456,1771565294048255113,4067
457,1771565294048275627,3895
458,1771565294048361072,61383
459,1771565294048362383,1222
460,1771565294048366325,3892
461,1771565294048386438,3988
462,1771565294048468736,58749
463,1771565294048470109,1293
464,1771565294048474031,3869
465,1771565294048530537,36876
466,1771565294048531727,1089
467,1771565294048552451,4088
468,1771565294048634473,58958
469,1771565294048635800,1236
470,1771565294048636641,789
471,1771565294048698689,39074
472,1771565294048699880,1106
473,1771565294048719747,4318
474,1771565294048800178,56878
475,1771565294048804484,4206
476,1771565294048805456,901
477,1771565294048862755,35755
478,1771565294048863939,1100
479,1771565294048887217,5234
480,1771565294048969404,60115
481,1771565294048970783,1294
482,1771565294048971643,812
483,1771565294049027801,36139
484,1771565294049028980,1095
485,1771565294049051404,4354
486,1771565294049135257,60790
487,1771565294049136470,1119
488,1771565294049137392,869
489,1771565294049194113,35248
490,1771565294049195269,1070
491,1771565294049218504,4158
492,1771565294049302223,60163
493,1771565294049303553,1231
494,1771565294049307501,3897
495,1771565294049364716,37609
